Station_Code,X,Y,Z,sX,sY,sZ
BRMU,2304703.4041271,-4874817.16927887,3395186.98399959,0.00055166,0.00063796,0.0005149
BRST,4231162.5182543,-332746.59000977,4745130.96777881,0.00058585,0.00057078,0.00054918
BRUS,4027893.68270369,307045.915420618,4919475.17582481,0.00058347,0.0005689,0.00055304
BRUX,4027881.51148662,306998.577859319,4919498.91545713,0.0005799,0.00056851,0.00054912
BSHM,4395951.36539679,3080707.1206079,3433498.11229313,0.00061144,0.00061929,0.0005346
BUCU,4093760.78598308,2007793.89273056,4445130.02542927,0.00059171,0.00059014,0.00053995
CAGL,4893378.75262418,772649.882800347,4004182.22320805,0.00060453,0.00058324,0.00053576
CAGZ,4893379.90922359,772650.576706003,4004180.09580015,0.00060459,0.00058325,0.00053581
CAS1,-901776.147437867,2409383.3075528,-5816748.47725642,0.00057363,0.00056018,0.00086482
CEDU,-3753472.77948092,3912741.00986978,-3347960.20282558,0.00067476,0.00063577,0.00072339
CFAG,2016584.88060117,-5050165.66704496,-3323308.73250916,0.00057487,0.0006348,0.00071606
CHAN,-2674427.38018795,3757143.16685876,4391521.61823548,0.00064694,0.00058088,0.0005442
CHAT,-4590671.24496742,-275482.49204702,-4404596.46288612,0.00069481,0.00057842,0.00077233
CHPI,4164613.89012593,-4162456.91562852,-2445028.7465884,0.00060606,0.00060619,0.00067942
CHTI,-4607855.98148959,-272375.751269133,-4386954.42245399,0.00069628,0.00057871,0.00077183
CHUM,1228950.65469057,4508079.93893108,4327868.5125449,0.00058348,0.00063208,0.00053735
CHUR,-236438.953435671,-3307616.87897202,5430049.26535882,0.00054394,0.00055207,0.00053832
CKIS,-5583182.32394679,-2054143.27693536,-2292166.53977199,0.00075337,0.00059804,0.00066045
CNMR,-5087757.8417985,3465028.92725681,1664653.75225011,0.00073779,0.00059701,0.00054311
COCO,-741950.615224901,6190961.66540781,-1337767.90613441,0.00061489,0.00071268,0.00063092
CONZ,1492004.74776642,-4887911.19575767,-3803640.34053138,0.00057152,0.00063075,0.00074261
CRAO,3783897.0053282,2551404.4915712,4441264.32558164,0.00058921,0.00059759,0.00053927
CRO1,2607771.25540297,-5488076.65318168,1932767.85009895,0.00056661,0.00066703,0.00052395
DAEJ,-3120042.12932923,4084614.80886363,3764026.86458591,0.00066252,0.00059263,0.00053134
DARW,-4091359.25655184,4684606.56079175,-1408579.71278569,0.00069846,0.000658,0.0006347
DAV1,486854.567741822,2285099.22778963,-5914955.70269289,0.00055208,0.00053951,0.00086682
DGAR,1916269.20351973,6029977.54504826,-801719.747103455,0.00060766,0.00075041,0.00061354
DGAV,1916269.20411694,6029977.54747352,-801719.747312561,0.00060825,0.00075319,0.00061384
DRAG,4432980.55067506,3149432.15787563,3322110.55240014,0.00060943,0.00061921,0.00053181
DRAO,-2059164.87686554,-3621108.39821564,4814432.2883157,0.00058873,0.00055336,0.00052116
DUBO,-417603.782722342,-4064529.81681345,4881432.15298536,0.00055057,0.00057809,0.00052284
DUM1,-1940883.75146589,1628483.19536682,-5833718.08726143,0.00059589,0.00055554,0.00085871
EBRE,4833520.08770576,41537.2045863136,4147461.60161496,0.00081191,0.00060585,0.00068885
EISL,-1884950.91299717,-5357596.11129134,-2892890.56214049,0.00062664,0.00070108,0.00069521
FAA1,-5247393.22795491,-3076866.93399071,-1911521.35288761,0.00073465,0.00061135,0.00063733
FAIR,-2281621.72898294,-1453595.87580967,5756961.76603164,0.00059257,0.00048951,0.00054732
FALK,2106811.34666291,-3355170.67417265,-4981786.31166698,0.00058614,0.0005987,0.00085887
FLIN,-766174.657200627,-3611375.33948559,5184056.22397493,0.00055456,0.00055825,0.00053033
